date,lat,lon,tmax
1970-01-31,42.5,-70.5,0.7204044
1970-02-01,41.5,-71.5,4.2670445
1970-02-01,41.5,-70.5,4.0651507
1970-02-01,42.5,-71.5,2.409437
1970-02-01,42.5,-70.5,3.3824837
1970-02-02,41.5,-71.5,6.5560884
1970-02-02,41.5,-70.5,6.3224626
1970-02-02,42.5,-71.5,5.7056913
1970-02-02,42.5,-70.5,6.0248175
1970-02-03,41.5,-71.5,8.784564
1970-02-03,41.5,-70.5,8.709968
1970-02-03,42.5,-71.5,8.041386
1970-02-03,42.5,-70.5,8.509665
1970-02-04,41.5,-71.5,6.312029
1970-02-04,41.5,-70.5,7.1300983
1970-02-04,42.5,-71.5,5.7268386
1970-02-04,42.5,-70.5,7.274846
1970-02-05,41.5,-71.5,-2.0343096
1970-02-05,41.5,-70.5,-1.0672519
1970-02-05,42.5,-71.5,-4.612259
1970-02-05,42.5,-70.5,-2.1699276
1970-02-06,41.5,-71.5,2.0294642
1970-02-06,41.5,-70.5,2.5960922
1970-02-06,42.5,-71.5,0.1401816
1970-02-06,42.5,-70.5,1.6255023
1970-02-07,41.5,-71.5,4.5578694
1970-02-07,41.5,-70.5,4.664309
1970-02-07,42.5,-71.5,3.7961946
1970-02-07,42.5,-70.5,4.458109
1970-02-08,41.5,-71.5,5.332096
1970-02-08,41.5,-70.5,5.507187
1970-02-08,42.5,-71.5,5.2834244
1970-02-08,42.5,-70.5,5.909394
1970-02-09,41.5,-71.5,5.186364
1970-02-09,41.5,-70.5,5.529336
1970-02-09,42.5,-71.5,5.4236727
1970-02-09,42.5,-70.5,5.68735
1970-02-10,41.5,-71.5,5.9024534
1970-02-10,41.5,-70.5,5.8437386
1970-02-10,42.5,-71.5,4.9700117
1970-02-10,42.5,-70.5,5.237141
1970-02-11,41.5,-71.5,6.1601744
1970-02-11,41.5,-70.5,6.2000237
1970-02-11,42.5,-71.5,5.98143
1970-02-11,42.5,-70.5,6.401309
1970-02-12,41.5,-71.5,2.8628354
1970-02-12,41.5,-70.5,3.0311942
1970-02-12,42.5,-71.5,2.5834756
1970-02-12,42.5,-70.5,3.2574012
1970-02-13,41.5,-71.5,0.98609257
1970-02-13,41.5,-70.5,1.3714828
1970-02-13,42.5,-71.5,-0.8938377
1970-02-13,42.5,-70.5,0.026741743
1970-02-14,41.5,-71.5,-1.6932695
1970-02-14,41.5,-70.5,-0.9052849
1970-02-14,42.5,-71.5,-3.0107117
1970-02-14,42.5,-70.5,-2.1093986
1970-02-15,41.5,-71.5,0.67864513
1970-02-15,41.5,-70.5,1.2894888
1970-02-15,42.5,-71.5,-1.9504766
1970-02-15,42.5,-70.5,-0.70305777
1970-02-16,41.5,-71.5,1.6413252
1970-02-16,41.5,-70.5,2.3684397
1970-02-16,42.5,-71.5,-0.09491491
1970-02-16,42.5,-70.5,0.98057485
1970-02-17,41.5,-71.5,2.043993
1970-02-17,41.5,-70.5,1.8530807
1970-02-17,42.5,-71.5,1.5616391
1970-02-17,42.5,-70.5,1.7927117
1970-02-18,41.5,-71.5,4.0325828
1970-02-18,41.5,-70.5,3.4832776
1970-02-18,42.5,-71.5,3.7217202
1970-02-18,42.5,-70.5,3.3381243
1970-02-19,41.5,-71.5,6.2758512
1970-02-19,41.5,-70.5,5.809834
1970-02-19,42.5,-71.5,5.0165243
1970-02-19,42.5,-70.5,4.810259
1970-02-20,41.5,-71.5,3.1654954
1970-02-20,41.5,-70.5,3.3798447
1970-02-20,42.5,-71.5,2.168014
1970-02-20,42.5,-70.5,2.190352
1970-02-21,41.5,-71.5,0.82923937
1970-02-21,41.5,-70.5,1.4177296
1970-02-21,42.5,-71.5,-0.26162958
1970-02-21,42.5,-70.5,0.48227215
1970-02-22,41.5,-71.5,5.688575
1970-02-22,41.5,-70.5,5.3936086
1970-02-22,42.5,-71.5,4.2328014
1970-02-22,42.5,-70.5,4.6283746
1970-02-23,41.5,-71.5,5.6714134
1970-02-23,41.5,-70.5,5.2000737
1970-02-23,42.5,-71.5,5.3229585
1970-02-23,42.5,-70.5,4.5985875
1970-02-24,41.5,-71.5,4.1064386
1970-02-24,41.5,-70.5,3.594328
1970-02-24,42.5,-71.5,0.7605393
1970-02-24,42.5,-70.5,0.45112944
1970-02-25,41.5,-71.5,7.7430286
1970-02-25,41.5,-70.5,7.0794973
1970-02-25,42.5,-71.5,5.1012225
1970-02-25,42.5,-70.5,4.7857733
1970-02-26,41.5,-71.5,2.5297587
1970-02-26,41.5,-70.5,2.9564734
1970-02-26,42.5,-71.5,1.3269591
1970-02-26,42.5,-70.5,1.1696949
1970-02-27,41.5,-71.5,0.62825394
1970-02-27,41.5,-70.5,0.69960594
1970-02-27,42.5,-71.5,-1.5384543
1970-02-27,42.5,-70.5,-0.9453006
1970-02-28,41.5,-71.5,1.952925
1970-02-28,41.5,-70.5,1.6790459
1970-02-28,42.5,-71.5,0.5168588
1970-02-28,42.5,-70.5,0.5457957
1970-03-01,41.5,-71.5,2.6295044
1970-03-01,41.5,-70.5,2.2288983
1970-03-01,42.5,-71.5,1.9225945
1970-03-01,42.5,-70.5,1.7281833
1970-03-02,41.5,-71.5,2.8718772
1970-03-02,41.5,-70.5,2.655413
1970-03-02,42.5,-71.5,2.0067737
1970-03-02,42.5,-70.5,1.713373
1970-03-03,41.5,-71.5,3.2110689
1970-03-03,41.5,-70.5,2.7556393
1970-03-03,42.5,-71.5,2.5112712
1970-03-03,42.5,-70.5,2.2941146
1970-03-04,41.5,-71.5,3.383357
1970-03-04,41.5,-70.5,3.2072163
1970-03-04,42.5,-71.5,3.5042624
1970-03-04,42.5,-70.5,3.1203313
1970-03-05,41.5,-71.5,3.975043
1970-03-05,41.5,-70.5,3.429718
1970-03-05,42.5,-71.5,3.016977
1970-03-05,42.5,-70.5,2.551297
1970-03-06,41.5,-71.5,3.8452768
1970-03-06,41.5,-70.5,3.199079
1970-03-06,42.5,-71.5,3.0995204
1970-03-06,42.5,-70.5,2.7119155
1970-03-07,41.5,-71.5,5.550401
1970-03-07,41.5,-70.5,4.900711
1970-03-07,42.5,-71.5,4.7839003
1970-03-07,42.5,-70.5,4.3789716
1970-03-08,41.5,-71.5,5.220941
1970-03-08,41.5,-70.5,5.0203085
1970-03-08,42.5,-71.5,4.266866
1970-03-08,42.5,-70.5,3.9311361
1970-03-09,41.5,-71.5,2.0614634
1970-03-09,41.5,-70.5,2.421489
1970-03-09,42.5,-71.5,0.8723674
1970-03-09,42.5,-70.5,1.1884968
1970-03-10,41.5,-71.5,2.803397
1970-03-10,41.5,-70.5,2.762274
1970-03-10,42.5,-71.5,1.7449741
1970-03-10,42.5,-70.5,1.7878735
1970-03-11,41.5,-71.5,4.0501227
1970-03-11,41.5,-70.5,3.9204462
1970-03-11,42.5,-71.5,3.0844104
1970-03-11,42.5,-70.5,2.9201381
1970-03-12,41.5,-71.5,5.5082116
1970-03-12,41.5,-70.5,5.372261
1970-03-12,42.5,-71.5,5.34964
1970-03-12,42.5,-70.5,5.062038
1970-03-13,41.5,-71.5,4.524191
1970-03-13,41.5,-70.5,4.342575
1970-03-13,42.5,-71.5,5.0761
1970-03-13,42.5,-70.5,3.908268
1970-03-14,41.5,-71.5,3.0578184
1970-03-14,41.5,-70.5,2.633282
1970-03-14,42.5,-71.5,2.6603508
1970-03-14,42.5,-70.5,1.9380538
1970-03-15,41.5,-71.5,3.585715
1970-03-15,41.5,-70.5,3.204649
1970-03-15,42.5,-71.5,3.8067546
1970-03-15,42.5,-70.5,2.9325569
1970-03-16,41.5,-71.5,3.4620233
1970-03-16,41.5,-70.5,3.30787
1970-03-16,42.5,-71.5,3.438527
1970-03-16,42.5,-70.5,2.8475897
1970-03-17,41.5,-71.5,4.74887
1970-03-17,41.5,-70.5,4.5974836
1970-03-17,42.5,-71.5,4.641819
1970-03-17,42.5,-70.5,4.170874
1970-03-18,41.5,-71.5,5.995104
1970-03-18,41.5,-70.5,6.0853786
1970-03-18,42.5,-71.5,6.703508
1970-03-18,42.5,-70.5,6.193226
1970-03-19,41.5,-71.5,7.5492797
1970-03-19,41.5,-70.5,6.803463
1970-03-19,42.5,-71.5,8.352615
1970-03-19,42.5,-70.5,6.974718
1970-03-20,41.5,-71.5,9.672286
1970-03-20,41.5,-70.5,8.973451
1970-03-20,42.5,-71.5,10.706916
1970-03-20,42.5,-70.5,9.266274
1970-03-21,41.5,-71.5,8.503504
1970-03-21,41.5,-70.5,7.9138393
1970-03-21,42.5,-71.5,8.74358
1970-03-21,42.5,-70.5,7.1121445
1970-03-22,41.5,-71.5,8.072979
