date,lat,lon,tmin
1970-02-01,42.5,-71.5,-8.880028
1970-02-01,42.5,-70.5,-7.42281
1970-02-02,41.5,-71.5,-3.151173
1970-02-02,41.5,-70.5,-2.6588979
1970-02-02,42.5,-71.5,-4.093501
1970-02-02,42.5,-70.5,-2.8983006
1970-02-03,41.5,-71.5,0.26476383
1970-02-03,41.5,-70.5,1.380147
1970-02-03,42.5,-71.5,-0.017860413
1970-02-03,42.5,-70.5,2.1508722
1970-02-04,41.5,-71.5,-14.253328
1970-02-04,41.5,-70.5,-12.962227
1970-02-04,42.5,-71.5,-14.746367
1970-02-04,42.5,-70.5,-12.85445
1970-02-05,41.5,-71.5,-17.565718
1970-02-05,41.5,-70.5,-16.62479
1970-02-05,42.5,-71.5,-18.809599
1970-02-05,42.5,-70.5,-17.218657
1970-02-06,41.5,-71.5,-7.906214
1970-02-06,41.5,-70.5,-7.745625
1970-02-06,42.5,-71.5,-10.529255
1970-02-06,42.5,-70.5,-8.556532
1970-02-07,41.5,-71.5,-8.937516
1970-02-07,41.5,-70.5,-8.270687
1970-02-07,42.5,-71.5,-11.334225
1970-02-07,42.5,-70.5,-9.731404
1970-02-08,41.5,-71.5,-9.259309
1970-02-08,41.5,-70.5,-8.685597
1970-02-08,42.5,-71.5,-10.204111
1970-02-08,42.5,-70.5,-8.901979
1970-02-09,41.5,-71.5,-6.4870644
1970-02-09,41.5,-70.5,-6.8058047
1970-02-09,42.5,-71.5,-6.851648
1970-02-09,42.5,-70.5,-6.510849
1970-02-10,41.5,-71.5,-1.8525887
1970-02-10,41.5,-70.5,-2.270947
1970-02-10,42.5,-71.5,-1.6568604
1970-02-10,42.5,-70.5,-1.6093946
1970-02-11,41.5,-71.5,-1.0588732
1970-02-11,41.5,-70.5,-1.169949
1970-02-11,42.5,-71.5,-0.19253922
1970-02-11,42.5,-70.5,0.24802971
1970-02-12,41.5,-71.5,-6.4606285
1970-02-12,41.5,-70.5,-6.3328414
1970-02-12,42.5,-71.5,-8.1642275
1970-02-12,42.5,-70.5,-7.351042
1970-02-13,41.5,-71.5,-9.299861
1970-02-13,41.5,-70.5,-9.332321
1970-02-13,42.5,-71.5,-10.134466
1970-02-13,42.5,-70.5,-9.619002
1970-02-14,41.5,-71.5,-15.939739
1970-02-14,41.5,-70.5,-15.317617
1970-02-14,42.5,-71.5,-17.548721
1970-02-14,42.5,-70.5,-16.552574
